"Tool_Name","Year","Language","Category","Type"
"1	CitationChaser",2022,"R","Automation","Modular"
"2	litsearchr",2019,"R","Search","Modular"
"3	OpenAlex",2022,"Python","Open Catalog","Modular"
"4	R: RISmed",2021,"R","Search","Modular"
"5	R: easyPubMed",2025,"R","Search","Modular"
"6	PubTator 3.0",2024,"Python","Text Mining","Modular"
"7	Unpaywall",2018,"Python","Extension","Modular"
"8	R: openalex",2024,"R","Search","Modular"
"10	TERA Explorer",2020,"Vue","Workflow","Modular"
"11	SRA Polyglot",2020,"Javasscript","Search","Modular"
"12	BioTextQuest v2.0",2024,"R","Text Mining","Modular"
"13	Kindred",2017,"Python","Text Mining","Modular"
"14	Zotero",2024,"Javascript","Manager","Modular"
"15	JabRef",2021,"Java","Manager","Modular"
"16	OpenRefine",2024,"Java","Data Cleaning","Modular"
"17	BiblioGlutton",2024,"Java","Extension","Modular"
"18	Docear",2011,"Java","Manager","Modular"
"19	ZotFile",2024,"Java","Plugin","Modular"
"20	BibDesk",2024,"Objective-C","Manager","Modular"
"21	BibSonomy",2010,"Java","Manager","Modular"
"22	Zotero Better BibTeX",2024,"TypeScript","Plugin","Modular"
"23	Papis",2024,"Python","Manager","Modular"
"24	Manubot",2019,"Python","Manager","Modular"
"25	Dedupe",2022,"Python","Data Cleaning","Modular"
"26	ASReview",2021,"Python","Screening","Modular"
"27	ReviewAid",2025,"Python","Data Extraction","Modular"
"28	Abstrackr",2012,"Python","Screening","Modular"
"29	Colandr",2018,"Python","Workflow","Modular"
"30	R: revtools",2019,"R","Screening","Modular"
"31	R: metagear",2016,"R","Screening","Modular"
"32	RobotReviewer",2016,"Python","Risk of Bias","Modular"
"33	Tabula",2020,"CSS","Data Extraction","Modular"
"34	WebPlotDigitizer (v4)",2017,"JavaScript","Data Extraction","Modular"
"35	GROBID",2025,"Java","Data Extraction","Modular"
"36	OCRmyPDF",2024,"Python","Data Extraction","Modular"
"37	Tesseract OCR",2007,"C++","Data Extraction","Modular"
"38	Pandoc",2024,"Haskell","Workflow","Modular"
"39	Camelot",2024,"Python","Data Extraction","Modular"
"40	PDFPlumber",2026,"Python","Data Extraction","Modular"
"41	SciSpaCy",2019,"Python","Text Mining","Modular"
"42	Nougat",2024,"Python","Data Extraction","Modular"
"43	PDFtk (PDF Toolkit)",2025,"Java","Workflow","Modular"
"44	PyPDF2",2024,"Python","Workflow","Modular"
"45	NLP Annotation",2024,"Python","Text Mining","Modular"
"46	ImageJ",2012,"Java","Data Extraction","Modular"
"47	Engauge Digitizer",2024,"C++","Data Extraction","Modular"
"48	Recogito",2014,"PLpgSQL","Data Extraction","Modular"
"49	Hypothes.is",2026,"Python","Screening","Modular"
"50	Critiplot",2025,"Python","Visualization","Modular"
"51	robvis",2021,"R","Visualization","Modular"
"52	NOS-TLPlot",2026,"Python","Visualization","Modular"
"53	psychometric",2024,"R","Visualization","Modular"
"54	metaviz",2019,"R","Visualization","Modular"
"55	R: EValue",2017,"R","Meta-analysis","Modular"
"56	psychmeta",2019,"R","Meta-analysis","Modular"
"57	statcheck",2016,"R","Automation","Modular"
"58	R: syuzhet",2015,"R","Text Mining","Modular"
"59	R: metafor",2010,"R","Meta-analysis","Modular"
"60	R: meta",2019,"R","Meta-analysis","Modular"
"61	R: netmeta",2012,"R","Meta-analysis","Modular"
"62	OpenMEE",2017,"R","Meta-analysis","Modular"
"63	OpenMeta[Analyst] / Meta-Analyst",2012,"Python","Meta-analysis","Modular"
"64	JASP",2019,"C++","Meta-analysis","Modular"
"65	OpenEpi",2013,"R","Meta-analysis","Modular"
"66	PyMC",2016,"Python","Meta-analysis","Modular"
"67	JAGS",2003,"C++","Meta-analysis","Modular"
"68	Stan",2017,"C++","Meta-analysis","Modular"
"69	R: meta4diag",2018,"R","Meta-analysis","Modular"
"70	R: mada",2022,"R","Meta-analysis","Modular"
"71	R: bmeta",2025,"R","Meta-analysis","Modular"
"72	R: MAc",2010,"R","Meta-analysis","Modular"
"73	R: metaRNAseq",2014,"R","Meta-analysis","Modular"
"74	R: metaMA",2009,"R","Meta-analysis","Modular"
"75	R: metaSEM",2015,"R","Meta-analysis","Modular"
"76	R: gemtc",2021,"R","Meta-analysis","Modular"
"77	R: multinma",2020,"R","Meta-analysis","Modular"
"78	R: dosresmeta",2016,"R","Meta-analysis","Modular"
"79	R: MetaForest",2020,"R","Meta-analysis","Modular"
"80	R: Bayesmeta",2020,"R","Meta-analysis","Modular"
"81	R: metapower",2021,"R","Meta-analysis","Modular"
"82	R: metaumbrella",2022,"R","Meta-analysis","Modular"
"83	R: pimeta",2024,"R","Meta-analysis","Modular"
"84	R: metaplus",2016,"R","Meta-analysis","Modular"
"85	R: robustmeta",2023,"R","Meta-analysis","Modular"
"86	R: metamedian",2020,"R","Meta-analysis","Modular"
"87	R: metaLik",2017,"R","Meta-analysis","Modular"
"88	R: brms",2017,"R","Meta-analysis","Modular"
"89	R: R2OpenBUGS",2020,"R","Meta-analysis","Modular"
"90	BUGSnet",2019,"R","Meta-analysis","Modular"
"91	R: robumeta",2015,"R","Meta-analysis","Modular"
"92	R: dmetar",2021,"R","Meta-analysis","Modular"
"93	MAvis",2016,"R","Visualization","Modular"
"94	ShinyMeta",2024,"R","Meta-analysis","Modular"
"95	compute.es",2013,"R","Meta-analysis","Modular"
"96	VOSviewer",2010,"Javascript","Visualization","Modular"
"97	PRISMA 2020 (Flow Diagram)",2022,"R","Visualization","Modular"
"98	RawGraphs",2017,"Javascript","Visualization","Modular"
"99	EviAtlas",2019,"R","Visualization","Modular"
"100	bibliometrix",2017,"R","Text Mining","Modular"
"101	Gephi",2009,"Java","Visualization","Modular"
"102	Cytoscape",2003,"Java","Visualization","Modular"
"103	QGIS",2022,"C++","Visualization","Modular"
"104	R: wordcloud",2018,"R","Text Mining","Modular"
"105	R: ggraph",2024,"R","Visualization","Modular"
"106	R: ggplot2",2016,"R","Visualization","Modular"
"107	R: patchwork",2024,"R","Visualization","Modular"
"108	R: cowplot",2024,"R","Visualization","Modular"
"109	Graphviz",2000,"C","Visualization","Modular"
"110	Carrot2",2005,"Java","Search","Modular"
"111	Sci2",2014,"Java","Visualization","Modular"
"112	PyMedTermino",2015,"Python","Search","Modular"
"113	BioEntrez",2009,"Python","Search","Modular"
"114	R: RTextTools",2013,"R","Text Mining","Modular"
"115	ArviZ",2019,"Python","Meta-analysis","Modular"
"116	R: forestplot",2024,"R","Visualization","Modular"
"117	R: clubSandwich",2024,"R","Meta-analysis","Modular"
"118	R: MICE",2011,"R","Data Extraction","Modular"
"119	PSPP",2024,"C","Meta-analysis","Modular"
"120	Gretl",2003,"C","Meta-analysis","Modular"
"122	spacy",2020,"Python","Text Mining","Modular"
"123	R: tidytext",2016,"R","Text Mining","Modular"
"124	R: quanteda",2018,"R","Text Mining","Modular"
"125	R: topicmodels",2011,"R","Text Mining","Modular"
"126	R: snowballC",2023,"R","Text Mining","Modular"
"127	R: udpipe",2017,"R","Text Mining","Modular"
"128	Citation.js",2019,"Javascript","Automation","Modular"
"129	scikit-learn",2011,"Python","Text Mining","Modular"
"130	transformers",2020,"Python","Text Mining","Modular"
"131	R: R Markdown",2018,"R","Workflow","Modular"
"132	R: bookdown",2016,"R","Workflow","Modular"
"133	PDFMiner.six",2024,"Python","Data Extraction","Modular"
"134	Gensim",2010,"Python","Text Mining","Modular"
"135	Whoosh",2024,"Python","Search","Modular"
"136	GPT-Researcher",2024,"Python","Automation","Modular"
"137	Taguette",2021,"Python","Data Extraction","Modular"
"138	QualCoder",2024,"Python","Data Extraction","Modular"
"139	R: RQDA",2024,"R","Data Extraction","Modular"
"140	CATMA",2016,"Java","Data Extraction","Modular"
"141	ROSES flowchart",2018,"R","Visualization","Modular"
"142	RefRandomiser",2025,"Python","Screening","Modular"
"143	bibfix",2021,"R","Automation","Modular"
"144	greylitsearcher",2022,"R","Search","Modular"
"145	metadat",2024,"R","Meta-analysis","Modular"
"146	PredicTER",2019,"R","Manager","Modular"
"147	sysrevdata",2018,"R","Data Extraction","Modular"
"148	Thallo Evidence Mapping",2024,"TypeScript","Visualization","Modular"
"149	CiteSource",2023,"R","Search","Modular"
"150	metaverse",2020,"R","Workflow","Modular"
"151	synthesisr",2024,"R","Manager","Modular"
"152	metaDigitise",2019,"R","Data Extraction","Modular"
"153	Entrez Direct",2013,"Python","Search","Modular"
"154	Rentrez",2017,"R","Search","Modular"
"155	Science Parse",2024,"Java","Data Extraction","Modular"
"156	AnyStyle",2023,"Ruby","Data Extraction","Modular"
"157	Plot Digitizer",2024,"Java","Data Extraction","Modular"
"158	KBibTeX",2024,"C++","Manager","Modular"
"159	Wikindx",2024,"PHP","Manager","Modular"
"160	MetaInsight",2019,"R","Meta-analysis","Modular"
"161	PyMARE",2025,"Python","Meta-analysis","Modular"
"162	Jamovi",2024,"Typescript","Meta-analysis","Modular"
"163	Meta-CART",2019,"R","Meta-analysis","Modular"
"164	EPPI Reviewer",2023,"C#","Workflow","Modular"
"165	MetaWin",2024,"Python","Meta-analysis","Modular"
"166	Meta-DiSc",2006,"R","Meta-analysis","Modular"
"167	SyRF",2021,"R","Workflow","Modular"
"168	MetaDTA",2019,"R","Meta-analysis","Modular"
"169	DiagMeta",2016,"R","Meta-analysis","Modular"
"170	HSROC",2012,"R","Meta-analysis","Modular"
"171	Metatron",2005,"R","Meta-analysis","Modular"
"172	Kilim Plot / Vitruvian Plot",2021,"R","Visualization","Modular"
"173	bamdit",2019,"R","Meta-analysis","Modular"
"174	pcnetmeta",2017,"R","Meta-analysis","Modular"
"175	mmeta",2014,"R","Meta-analysis","Modular"
"176	bspmma",2012,"R","Meta-analysis","Modular"
"177	RIMeta",2023,"R","Meta-analysis","Modular"
"178	MA-cont",2022,"R","Meta-analysis","Modular"
"179	MBNMAdose",2021,"R","Meta-analysis","Modular"
"180	DenseReviewer",2025,"Python","Screening","Modular"
"181	ASySD",2023,"R","Manager","Modular"
"182	RobotSearch",2018,"Python","Screening","Modular"
"183	Thoth",2019,"PHP","Workflow","Modular"
"184	Paperfetcher",2022,"Python","Search","Modular"
"185	PubMed Search Tester",2020,"Javascript","Search","Modular"
"186	metapro",2023,"R","Meta-analysis","Modular"
"187	SurvdigitizeR",2024,"R","Data Extraction","Modular"
"188	CINeMA",2020,"JavaScript","Risk of Bias","Modular"
"189	HAWC",2018,"Python","Manager","Modular"
"190	metacp",2025,"Python","Meta-analysis","Modular"
"191	searchbuildR",2024,"R","Search","Modular"
"192	MSE FINDR",2024,"R","Data Extraction","Modular"
"193	Auto-STEED",2024,"R","Data Extraction","Modular"
"194	Trial2rev",2019,"Python","Screening","Modular"
"195	metap",2024,"R","Meta-analysis","Modular"
"196	RTSA",2008,"R","Meta-analysis","Modular"
"197	mixmeta",2019,"R","Meta-analysis","Modular"
"198	rnmamod",2024,"R","Meta-analysis","Modular"
"199	baggr",2026,"R","Meta-analysis","Modular"
"200	esc",2019,"R","Data Extraction","Modular"
"201	metaBMA",2021,"C++","Meta-analysis","Modular"
"202	metasens",2019,"R","Meta-analysis","Modular"
"203	bipd",2024,"R","Meta-analysis","Modular"
"204	MetaStan",2020,"C++","Meta-analysis","Modular"
"205	MAd",2014,"R","Meta-analysis","Modular"
"206	CaMeA",2023,"R","Meta-analysis","Modular"
"207	mvtmeta",2012,"R","Meta-analysis","Modular"
"208	mc.heterogeneity",2017,"R","Meta-analysis","Modular"
"209	searchAnalyzeR",2025,"R","Search","Modular"
"210	jarbes",2019,"R","Meta-analysis","Modular"
"211	SCMA",2013,"R","Meta-analysis","Modular"
"212	rmeta",2018,"R","Meta-analysis","Modular"
"213	MVPBT",2020,"R","Meta-analysis","Modular"
"214	meta-maive",2025,"R","Meta-analysis","Modular"
"215	puniform",2015,"R","Meta-analysis","Modular"
"216	bnma",2023,"R","Meta-analysis","Modular"
"217	survNMA",2025,"R","Meta-analysis","Modular"
"218	viscomp",2023,"R","Visualization","Modular"
"219	artma",2023,"R","Meta-analysis","Modular"
"220	dmetatools",2021,"R","Meta-analysis","Modular"
"221	wildmeta",2022,"R","Meta-analysis","Modular"
"222	mvmeta",2012,"R","Meta-analysis","Modular"
"223	mars",2025,"R","Meta-analysis","Modular"
"224	PINMA",2023,"R","Meta-analysis","Modular"
"225	NMADTA",2023,"R","Meta-analysis","Modular"
"226	coefa",2023,"R","Meta-analysis","Modular"
"227	appraise",2025,"R","Meta-analysis","Modular"
"228	metarep",2023,"R","Meta-analysis","Modular"
"229	metaquant",2024,"R","Meta-analysis","Modular"
"230	heterometa",2024,"R","Meta-analysis","Modular"
"231	getspres",2019,"R","Meta-analysis","Modular"
"232	rema",2021,"R","Meta-analysis","Modular"
"233	vcmeta",2015,"R","Meta-analysis","Modular"
"234	crossnma",2024,"R","Meta-analysis","Modular"
"235	metapack",2022,"C++","Meta-analysis","Modular"
"236	nmarank",2022,"R","Meta-analysis","Modular"
"237	CBnetworkMA",2024,"C","Meta-analysis","Modular"
"238	pema",2023,"C++","Meta-analysis","Modular"
"239	altmeta",2025,"R","Meta-analysis","Modular"
"240	boutliers",2020,"R","Meta-analysis","Modular"
"241	metagroup",2025,"R","Meta-analysis","Modular"
"242	nmaplateplot",2025,"R","Visualization","Modular"
"243	selectMeta",2011,"R","Meta-analysis","Modular"
"244	nmaINLA",2018,"R","Meta-analysis","Modular"
"245	MetaNLP",2025,"R","Meta-analysis","Modular"
"246	POMADE",2024,"R","Meta-analysis","Modular"
"247	publipha",2023,"C++","Meta-analysis","Modular"
"248	OssaNMA",2023,"R","Meta-analysis","Modular"
"249	metabup",2022,"R","Meta-analysis","Modular"
"250	rankinma",2024,"R","Meta-analysis","Modular"
"251	RBesT",2021,"R","Meta-analysis","Modular"
"252	detectnorm",2022,"R","Meta-analysis","Modular"
"253	multibiasmeta",2024,"R","Meta-analysis","Modular"
"254	getmstatistic",2017,"R","Meta-analysis","Modular"
"255	NMAforest",2026,"R","Visualization","Modular"
"256	MBNMAtime",2019,"R","Meta-analysis","Modular"
"257	tracenma",2025,"R","Meta-analysis","Modular"
"258	metasplines",2026,"R","Meta-analysis","Modular"
"259	metagam",2021,"R","Meta-analysis","Modular"
"260	metansue",2024,"R","Meta-analysis","Modular"
"261	RoBMA",2020,"R","Meta-analysis","Modular"
"262	MetaAnalyser",2016,"R","Visualization","Modular"
"263	WMAP",2025,"R","Meta-analysis","Modular"
"264	HCT",2022,"R","Meta-analysis","Modular"
"265	CRTSize",2023,"R","Meta-analysis","Modular"
"266	MCMCglmm",2010,"R","Meta-analysis","Modular"
"267	iSFun",2022,"R","Meta-analysis","Modular"
"268	LitOrganizer",2025,"Python","Data Extraction","Modular"
"269	PROMPTHEUS",2025,"Python","Automation","Modular"
"270	LLAssist",2024,"C#","Automation","Modular"
"271	EvidenceSynthesis",2025,"R","Meta-analysis","Modular"
"272	Scholarly",2021,"Python","Search","Modular"
"273	europepmc",2020,"R","Search","Modular"
"274	QuickUMLS",2016,"Python","Data Extraction","Modular"
"275	SciPDF Parser",2020,"Python","Data Extraction","Modular"
"276	Open Knowledge Maps",2024,"R","Visualization","Modular"
"277	CorTexT Manager",2016,"Python","Visualization","Modular"
